run_id,task_id,category,model_name,shot_count,input,expected_output,actual_output,score,scoring_method,latency_ms,timestamp,trial_id,input_tokens,output_tokens,example_selection
20260325_000000,classification_001,classification,claude-haiku-4-5,0,The app crashes frequently. Updating to the latest version hasn't fixed the issue.,Technical Support,Technical Support,1.0,exact_match,1200,2026-03-22T00:21:44.853942,1,0,0,tfidf
20260325_000000,classification_001,classification,claude-haiku-4-5,0,"I want to reset my password, but the reset email isn't arriving at my registered email address.",Account Management,Account Access,0.0,exact_match,684,2026-03-22T00:21:45.538925,1,0,0,tfidf
20260325_000000,classification_001,classification,claude-haiku-4-5,0,"If I cancel my subscription, will I get a refund for the current month that I've already paid for?",Billing,Billing & Refunds,0.0,exact_match,716,2026-03-22T00:21:46.255758,1,0,0,tfidf
20260325_000000,classification_001,classification,claude-haiku-4-5,0,"The product I purchased doesn't fit. Can I exchange it for a different size? Also, will there be a shipping fee?",Returns/Exchange,Returns & Exchanges,0.0,exact_match,834,2026-03-22T00:21:47.090254,1,0,0,tfidf
20260325_000000,classification_001,classification,claude-haiku-4-5,0,"I'd like to cancel my order, but it already shows as shipped.",Shipping/Logistics,Order Management,0.0,exact_match,711,2026-03-22T00:21:47.802307,1,0,0,tfidf
20260325_000000,classification_001,classification,claude-haiku-4-5,1,The app crashes frequently. Updating to the latest version hasn't fixed the issue.,Technical Support,Technical Support,1.0,exact_match,714,2026-03-22T00:21:48.525248,1,0,0,tfidf
20260325_000000,classification_001,classification,claude-haiku-4-5,1,"I want to reset my password, but the reset email isn't arriving at my registered email address.",Account Management,Account Management,1.0,exact_match,707,2026-03-22T00:21:49.239055,1,0,0,tfidf
20260325_000000,classification_001,classification,claude-haiku-4-5,1,"If I cancel my subscription, will I get a refund for the current month that I've already paid for?",Billing,Contract/Cancellation,0.0,exact_match,716,2026-03-22T00:21:49.958639,1,0,0,tfidf
20260325_000000,classification_001,classification,claude-haiku-4-5,1,"The product I purchased doesn't fit. Can I exchange it for a different size? Also, will there be a shipping fee?",Returns/Exchange,Returns/Exchange,1.0,exact_match,710,2026-03-22T00:21:50.674791,1,0,0,tfidf
20260325_000000,classification_001,classification,claude-haiku-4-5,1,"I'd like to cancel my order, but it already shows as shipped.",Shipping/Logistics,Order/Cancellation,0.0,exact_match,628,2026-03-22T00:21:51.309242,1,0,0,tfidf
20260325_000000,classification_001,classification,claude-haiku-4-5,2,The app crashes frequently. Updating to the latest version hasn't fixed the issue.,Technical Support,Technical Support,1.0,exact_match,638,2026-03-22T00:21:51.959911,1,0,0,tfidf
20260325_000000,classification_001,classification,claude-haiku-4-5,2,"I want to reset my password, but the reset email isn't arriving at my registered email address.",Account Management,Account Management,1.0,exact_match,709,2026-03-22T00:21:52.674670,1,0,0,tfidf
20260325_000000,classification_001,classification,claude-haiku-4-5,2,"If I cancel my subscription, will I get a refund for the current month that I've already paid for?",Billing,Contract/Cancellation,0.0,exact_match,817,2026-03-22T00:21:53.496566,1,0,0,tfidf
20260325_000000,classification_001,classification,claude-haiku-4-5,2,"The product I purchased doesn't fit. Can I exchange it for a different size? Also, will there be a shipping fee?",Returns/Exchange,Returns/Exchange,1.0,exact_match,802,2026-03-22T00:21:54.301180,1,0,0,tfidf
20260325_000000,classification_001,classification,claude-haiku-4-5,2,"I'd like to cancel my order, but it already shows as shipped.",Shipping/Logistics,Order/Delivery,0.0,exact_match,874,2026-03-22T00:21:55.178740,1,0,0,tfidf
20260325_000000,classification_001,classification,claude-haiku-4-5,4,The app crashes frequently. Updating to the latest version hasn't fixed the issue.,Technical Support,Technical Support,1.0,exact_match,610,2026-03-22T00:21:55.791893,1,0,0,tfidf
20260325_000000,classification_001,classification,claude-haiku-4-5,4,"I want to reset my password, but the reset email isn't arriving at my registered email address.",Account Management,Technical Support,0.0,exact_match,935,2026-03-22T00:21:56.730085,1,0,0,tfidf
20260325_000000,classification_001,classification,claude-haiku-4-5,4,"If I cancel my subscription, will I get a refund for the current month that I've already paid for?",Billing,Contract/Cancellation,0.0,exact_match,815,2026-03-22T00:21:57.549159,1,0,0,tfidf
20260325_000000,classification_001,classification,claude-haiku-4-5,4,"The product I purchased doesn't fit. Can I exchange it for a different size? Also, will there be a shipping fee?",Returns/Exchange,Returns/Exchange,1.0,exact_match,667,2026-03-22T00:21:58.219347,1,0,0,tfidf
20260325_000000,classification_001,classification,claude-haiku-4-5,4,"I'd like to cancel my order, but it already shows as shipped.",Shipping/Logistics,Shipping/Logistics,1.0,exact_match,710,2026-03-22T00:21:58.932219,1,0,0,tfidf
20260325_000000,classification_001,classification,claude-haiku-4-5,8,The app crashes frequently. Updating to the latest version hasn't fixed the issue.,Technical Support,Technical Support,1.0,exact_match,537,2026-03-22T00:21:59.472894,1,0,0,tfidf
20260325_000000,classification_001,classification,claude-haiku-4-5,8,"I want to reset my password, but the reset email isn't arriving at my registered email address.",Account Management,Technical Support,0.0,exact_match,676,2026-03-22T00:22:00.152320,1,0,0,tfidf
20260325_000000,classification_001,classification,claude-haiku-4-5,8,"If I cancel my subscription, will I get a refund for the current month that I've already paid for?",Billing,Billing,1.0,exact_match,1060,2026-03-22T00:22:01.214845,1,0,0,tfidf
20260325_000000,classification_001,classification,claude-haiku-4-5,8,"The product I purchased doesn't fit. Can I exchange it for a different size? Also, will there be a shipping fee?",Returns/Exchange,Returns/Exchange,1.0,exact_match,564,2026-03-22T00:22:01.782036,1,0,0,tfidf
20260325_000000,classification_001,classification,claude-haiku-4-5,8,"I'd like to cancel my order, but it already shows as shipped.",Shipping/Logistics,Shipping/Logistics,1.0,exact_match,2320,2026-03-22T00:22:04.108271,1,0,0,tfidf
20260325_000000,summarization_001,summarization,claude-haiku-4-5,0,"The Ministry of the Environment announced that domestic renewable energy power generation reached a record high in 2024. A significant increase in solar power generation capacity was the main factor. Large-scale solar power plants began operations one after another, particularly in Hokkaido and Kyushu. Meanwhile, the issue that power grid infrastructure development has not kept pace was also pointed out. The government has set a target of raising the renewable energy ratio to 40% or more by 2030.","Renewable energy record high, solar power, Hokkaido, Kyushu, power grid, 2030, 40%","# ニュース記事の要約

**主要情報:**

- **発表機関:** 環境省
- **主な内容:** 2024年の国内再生可能エネルギー発電が過去最高を記録
- **主な要因:** 太陽光発電容量の大幅増加
- **展開地域:** 北海道と九州で大規模太陽光発電所が相次ぎ稼働
- **課題:** 電力網インフラの整備が発電増加に追いついていない
- **政府目標:** 2030年までに再生可能エネルギーの比率を40%以上に引き上げる",0.0,f1,2030,2026-03-22T00:22:06.138643,1,0,0,tfidf
20260325_000000,summarization_001,summarization,claude-haiku-4-5,0,"The Ministry of Health, Labour and Welfare announced that the number of births in 2024 is expected to fall below 700,000, a record low. The decline in the number of marriages and later marriages were cited as the main factors. As measures against the declining birthrate, the government is expanding child allowances and improving parental leave systems. Experts have also voiced that 'in addition to financial support, work-style reform is necessary.'","Births below 700,000, record low, declining marriages, later marriages, child allowances, parental leave, work-style reform","# ニュース記事の要約

**主要情報:**

- **発表機関:** 厚生労働省
- **主な内容:** 2024年の出生数が70万人を下回ると予想され、過去最低を記録する見通し

**低下の主な要因:**
- 婚姻数の減少
- 晩婚化

**政府の対策:**
- 児童手当の拡充
- 育児休業制度の改善

**専門家の指摘:**
- 経済的支援に加えて、働き方改革が必要",0.0,f1,2145,2026-03-22T00:22:08.283888,1,0,0,tfidf
